T(C)	'D-1.0(C/s)'
3000.0	5.667564404
2990.0	5.676952519
2980.0	5.686342789
2970.0	5.695735083
2960.0	5.705129266
2950.0	5.714525204
2940.0	5.72392276
2930.0	5.733321798
2920.0	5.74272218
2910.0	5.752123768
2900.0	5.761526422
2890.0	5.770930002
2880.0	5.780334366
2870.0	5.789739372
2860.0	5.799144876
2850.0	5.808550735
2840.0	5.817956803
2830.0	5.827362933
2820.0	5.83676898
2810.0	5.846174794
2800.0	5.855580226
2790.0	5.864985128
2780.0	5.874389347
2770.0	5.883792732
2760.0	5.893195129
2750.0	5.902596387
2740.0	5.911996349
2730.0	5.92139486
2720.0	5.930791763
2710.0	5.940186901
2700.0	5.949580115
2690.0	5.958971247
2680.0	5.968360134
2670.0	5.977746618
2660.0	5.987130534
2650.0	5.99651172
2640.0	6.005890011
2630.0	6.015265243
2620.0	6.02463725
2610.0	6.034005865
2600.0	6.043370919
2590.0	6.052732245
2580.0	6.062089672
2570.0	6.07144303
2560.0	6.080792147
2550.0	6.090136851
2540.0	6.099476968
2530.0	6.108812324
2520.0	6.118142744
2510.0	6.127468052
2500.0	6.136788071
2490.0	6.146102622
2480.0	6.155411527
2470.0	6.164714607
2460.0	6.17401168
2450.0	6.183302565
2440.0	6.19258708
2430.0	6.201865041
2420.0	6.211136264
2410.0	6.220400565
2400.0	6.229657757
2390.0	6.238907653
2380.0	6.248150066
2370.0	6.257384807
2360.0	6.266611687
2350.0	6.275830516
2340.0	6.285041102
2330.0	6.294243254
2320.0	6.303436779
2310.0	6.312621483
2300.0	6.321797171
2290.0	6.33096365
2280.0	6.340120722
2270.0	6.34926819
2260.0	6.358405857
2250.0	6.367533525
2240.0	6.376650993
2230.0	6.385758063
2220.0	6.394854532
2210.0	6.4039402
2200.0	6.413014864
2190.0	6.422078321
2180.0	6.431130366
2170.0	6.440170795
2160.0	6.449199403
2150.0	6.458215983
2140.0	6.467220328
2130.0	6.476212231
2120.0	6.485191483
2110.0	6.494157875
2100.0	6.503111197
2090.0	6.512051239
2080.0	6.520977789
2070.0	6.529890636
2060.0	6.538789566
2050.0	6.547674367
2040.0	6.556544824
2030.0	6.565400724
2020.0	6.57424185
2010.0	6.583067987
2000.0	6.591878918
1990.0	6.600674426
1980.0	6.609454294
1970.0	6.618218303
1960.0	6.626966234
1950.0	6.635697868
1940.0	6.644412984
1930.0	6.653111361
1920.0	6.661792779
1910.0	6.670457016
1900.0	6.67910385
1890.0	6.687733056
1880.0	6.696344413
1870.0	6.704937696
1860.0	6.713512681
1850.0	6.722069143
1840.0	6.730606857
1830.0	6.739125596
1820.0	6.747625135
1810.0	6.756105246
1800.0	6.764565703
1790.0	6.773006278
1780.0	6.781426743
1770.0	6.78982687
1760.0	6.79820643
1750.0	6.806565193
1740.0	6.81490293
1730.0	6.823219411
1720.0	6.831514406
1710.0	6.839787684
1700.0	6.848039015
1690.0	6.856268167
1680.0	6.864474909
1670.0	6.872659008
1660.0	6.880820234
1650.0	6.888958353
1640.0	6.897073133
1630.0	6.905164341
1620.0	6.913231745
1610.0	6.92127511
1600.0	6.929294204
1590.0	6.937288793
1580.0	6.945258643
1570.0	6.953203521
1560.0	6.961123192
1550.0	6.969017421
1540.0	6.976885976
1530.0	6.984728621
1520.0	6.992545122
1510.0	7.000335245
1500.0	7.008098755
1490.0	7.015835416
1480.0	7.023544996
1470.0	7.031227258
#1460.0	7.038881969
#heavily manipulated
1460.0	7.065976992
1450.0	7.101066042
1440.0	7.134387853
1430.0	7.177458788
1420.0	7.211193546
1410.0	7.228319303
1400.0	7.239681101
1390.0	7.249455888
1380.0	7.258134874
1370.0	7.266781373
1360.0	7.275378823
1350.0	7.283907087
1340.0	7.292372432
1330.0	7.300806759
1320.0	7.309120646
1310.0	7.317361161
1300.0	7.325511618
1290.0	7.333644738
1280.0	7.341683473
1270.0	7.349597336
1260.0	7.357432453
1250.0	7.365195996
1240.0	7.372887415
1230.0	7.380522323
1220.0	7.388029457
1210.0	7.395402654
1200.0	7.401625175
1190.0	7.406659562
1180.0	7.411685346
1170.0	7.416702547
1160.0	7.42171118
1150.0	7.426711264
1140.0	7.431702814
1130.0	7.436685849
1120.0	7.441660386
1110.0	7.446626444
1100.0	7.451584039
1090.0	7.456533191
1080.0	7.461473918
1070.0	7.466406239
1060.0	7.471330172
1050.0	7.476245738
1040.0	7.481152955
1030.0	7.486051844
1020.0	7.490942424
1010.0	7.495824716
1000.0	7.500698741
990.0	7.505564519
980.0	7.510422072
970.0	7.515271421
960.0	7.520112589
950.0	7.524945596
940.0	7.529770467
930.0	7.534587223
920.0	7.539395888
910.0	7.544196486
900.0	7.548989038
890.0	7.553773571
880.0	7.558550107
870.0	7.563318673
860.0	7.568079292
850.0	7.57283199
840.0	7.577576792
830.0	7.582313725
820.0	7.587042814
810.0	7.591764087
800.0	7.59647757
790.0	7.601183289
780.0	7.605881273
770.0	7.61057155
760.0	7.615254146
750.0	7.619929092
740.0	7.624596415
730.0	7.629256145
720.0	7.633908311
710.0	7.638552943
700.0	7.64319007
690.0	7.647819723
680.0	7.652441932
670.0	7.657056729
660.0	7.661664145
650.0	7.666264211
640.0	7.67085696
630.0	7.675442422
620.0	7.680020632
610.0	7.684591621
600.0	7.689155423
590.0	7.693712072
580.0	7.6982616
570.0	7.702804042
560.0	7.707339433
550.0	7.711867807
540.0	7.7163892
530.0	7.720903645
520.0	7.72541118
510.0	7.72991184
500.0	7.734405661
490.0	7.73889268
480.0	7.743372934
470.0	7.74784646
460.0	7.752313295
450.0	7.756773477
440.0	7.761227045
430.0	7.765674036
420.0	7.77011449
410.0	7.774548445
400.0	7.778975941
390.0	7.783397018
380.0	7.787811714
370.0	7.792220072
360.0	7.796622131
350.0	7.801017932
340.0	7.805407516
330.0	7.809790925
320.0	7.8141682
310.0	7.818539384
300.0	7.82290452
290.0	7.827263649
280.0	7.831616814
270.0	7.83596406
260.0	7.84030543
250.0	7.844640967
240.0	7.848970716
230.0	7.853294721
220.0	7.857613028
210.0	7.861925681
200.0	7.866232725
190.0	7.870534208
180.0	7.874830173
170.0	7.879120669
160.0	7.883405741
150.0	7.887685437
140.0	7.891959803
130.0	7.896228887
120.0	7.900492738
110.0	7.904751403
100.0	7.90900493
90.0	7.913253369
80.0	7.917496768
70.0	7.921735177
60.0	7.925968645
50.0	7.930197222
40.0	7.93442096
30.0	7.938639907
