'Temperature (C')	Specific Heat (J/gK)'
3000.0	0.845
2990.0	0.845
2980.0	0.845
2970.0	0.845
2960.0	0.845
2950.0	0.845
2940.0	0.845
2930.0	0.845
2920.0	0.845
2910.0	0.845
2900.0	0.84501
2890.0	0.84501
2880.0	0.84501
2870.0	0.84501
2860.0	0.84501
2850.0	0.84501
2840.0	0.84501
2830.0	0.84501
2820.0	0.84501
2810.0	0.845
2800.0	0.845
2790.0	0.845
2780.0	0.845
2770.0	0.845
2760.0	0.845
2750.0	0.845
2740.0	0.845
2730.0	0.845
2720.0	0.845
2710.0	0.845
2700.0	0.845
2690.0	0.845
2680.0	0.845
2670.0	0.845
2660.0	0.845
2650.0	0.845
2640.0	0.845
2630.0	0.845
2620.0	0.845
2610.0	0.845
2600.0	0.84499
2590.0	0.84499
2580.0	0.84499
2570.0	0.84499
2560.0	0.84499
2550.0	0.84499
2540.0	0.84499
2530.0	0.84499
2520.0	0.84499
2510.0	0.84499
2500.0	0.84499
2490.0	0.84499
2480.0	0.84499
2470.0	0.84499
2460.0	0.84499
2450.0	0.84498
2440.0	0.84498
2430.0	0.84498
2420.0	0.84498
2410.0	0.84498
2400.0	0.84498
2390.0	0.84498
2380.0	0.84498
2370.0	0.84498
2360.0	0.84498
2350.0	0.84498
2340.0	0.84498
2330.0	0.84498
2320.0	0.84497
2310.0	0.84497
2300.0	0.84497
2290.0	0.84497
2280.0	0.84497
2270.0	0.84497
2260.0	0.84497
2250.0	0.84497
2240.0	0.84497
2230.0	0.84497
2220.0	0.84497
2210.0	0.84496
2200.0	0.84496
2190.0	0.84496
2180.0	0.84496
2170.0	0.84496
2160.0	0.84496
2150.0	0.84496
2140.0	0.84496
2130.0	0.84496
2120.0	0.84496
2110.0	0.84496
2100.0	0.84495
2090.0	0.84495
2080.0	0.84495
2070.0	0.84495
2060.0	0.84495
2050.0	0.84495
2040.0	0.84495
2030.0	0.84495
2020.0	0.84495
2010.0	0.84495
2000.0	0.84495
1990.0	0.84494
1980.0	0.84494
1970.0	0.84494
1960.0	0.84494
1950.0	0.84494
1940.0	0.84494
1930.0	0.84494
1920.0	0.84494
1910.0	0.84494
1900.0	0.84479
1890.0	0.84457
1880.0	0.84433
1870.0	0.84407
1860.0	0.8438
1850.0	0.84351
1840.0	0.84321
1830.0	0.84289
1820.0	0.84255
1810.0	0.8422
1800.0	0.84183
1790.0	0.84146
1780.0	0.84106
1770.0	0.84066
1760.0	0.84024
1750.0	0.83981
1740.0	0.83937
1730.0	0.83891
1720.0	0.83845
1710.0	0.83797
1700.0	0.83749
1690.0	0.83699
1680.0	0.83648
1670.0	0.83597
1660.0	0.83544
1650.0	0.83491
1640.0	0.83437
1630.0	0.83382
1620.0	0.83326
1610.0	0.83269
1600.0	0.83212
1590.0	0.83154
1580.0	0.83095
1570.0	0.83035
1560.0	0.82975
1550.0	0.82915
1540.0	0.82853
1530.0	0.82512
1520.0	0.82101
1510.0	0.81696
1500.0	0.81297
1490.0	0.80902
1480.0	0.80514
1470.0	0.8013
1460.0	0.79752
1450.0	6.07776
1440.0	3.83196
1430.0	4.74244
1420.0	2.20109
1410.0	1.35042
1400.0	1.04567
1390.0	0.95028
1380.0	0.90286
1370.0	0.88798
1360.0	0.87378
1350.0	0.86021
1340.0	0.84722
1330.0	0.83482
1320.0	0.82298
1310.0	0.81168
1300.0	0.80097
1290.0	0.79062
1280.0	0.78075
1270.0	0.77133
1260.0	0.76232
1250.0	0.75372
1240.0	0.74553
1230.0	0.73775
1220.0	0.73031
1210.0	0.72321
1200.0	0.67791
1190.0	0.67579
1180.0	0.67368
1170.0	0.67158
1160.0	0.66948
1150.0	0.6674
1140.0	0.66533
1130.0	0.66325
1120.0	0.66119
1110.0	0.65909
1100.0	0.65705
1090.0	0.65502
1080.0	0.65298
1070.0	0.65096
1060.0	0.64893
1050.0	0.64693
1040.0	0.64494
1030.0	0.64294
1020.0	0.64096
1010.0	0.63897
1000.0	0.637
990.0	0.63503
980.0	0.63307
970.0	0.63112
960.0	0.62919
950.0	0.62724
940.0	0.6253
930.0	0.62338
920.0	0.62146
910.0	0.61955
900.0	0.61764
890.0	0.61574
880.0	0.61384
870.0	0.62728
860.0	0.62424
850.0	0.62127
840.0	0.61839
830.0	0.64959
820.0	0.64516
810.0	0.64087
800.0	0.65115
