T(C)	'TC-1.0(C/s)'
3000.0	54.72334648
2990.0	54.57108027
2980.0	54.41881406
2970.0	54.26654784
2960.0	54.11428163
2950.0	53.96201542
2940.0	53.8097492
2930.0	53.65748299
2920.0	53.50521678
2910.0	53.35295056
2900.0	53.20068435
2890.0	53.04841813
2880.0	52.89615192
2870.0	52.74388571
2860.0	52.59161949
2850.0	52.43935328
2840.0	52.28708707
2830.0	52.13482085
2820.0	51.98255464
2810.0	51.83028843
2800.0	51.67802221
2790.0	51.525756
2780.0	51.37348978
2770.0	51.22122357
2760.0	51.06895736
2750.0	50.91669114
2740.0	50.76442493
2730.0	50.61215872
2720.0	50.4598925
2710.0	50.30762629
2700.0	50.15536008
2690.0	50.00309386
2680.0	49.85082765
2670.0	49.69856143
2660.0	49.54629522
2650.0	49.39402901
2640.0	49.24176279
2630.0	49.08949658
2620.0	48.93723037
2610.0	48.78496415
2600.0	48.63269794
2590.0	48.48043173
2580.0	48.32816551
2570.0	48.1758993
2560.0	48.02363308
2550.0	47.87136687
2540.0	47.71910066
2530.0	47.56683444
2520.0	47.41456823
2510.0	47.26230202
2500.0	47.1100358
2490.0	46.95776959
2480.0	46.80550338
2470.0	46.65323716
2460.0	46.50097095
2450.0	46.34870473
2440.0	46.19643852
2430.0	46.04417231
2420.0	45.89190609
2410.0	45.73963988
2400.0	45.58737367
2390.0	45.43510745
2380.0	45.28284124
2370.0	45.13057503
2360.0	44.97830881
2350.0	44.8260426
2340.0	44.67377638
2330.0	44.52151017
2320.0	44.36924396
2310.0	44.21697774
2300.0	44.06471153
2290.0	43.91244532
2280.0	43.7601791
2270.0	43.60791289
2260.0	43.45564668
2250.0	43.30338046
2240.0	43.15111425
2230.0	42.99884803
2220.0	42.84658182
2210.0	42.69431561
2200.0	42.54204939
2190.0	42.38978318
2180.0	42.23751697
2170.0	42.08525075
2160.0	41.93298454
2150.0	41.78071833
2140.0	41.62845211
2130.0	41.4761859
2120.0	41.32391968
2110.0	41.17165347
2100.0	41.01938726
2090.0	40.86712104
2080.0	40.71485483
2070.0	40.56258862
2060.0	40.4103224
2050.0	40.25805619
2040.0	40.10578998
2030.0	39.95352376
2020.0	39.80125755
2010.0	39.64899133
2000.0	39.49672512
1990.0	39.34445891
1980.0	39.19219269
1970.0	39.03992648
1960.0	38.88766027
1950.0	38.73539405
1940.0	38.58312784
1930.0	38.43086163
1920.0	38.27859541
1910.0	38.1263292
1900.0	37.97406298
1890.0	37.82179677
1880.0	37.66953056
1870.0	37.51726434
1860.0	37.36499813
1850.0	37.21273192
1840.0	37.0604657
1830.0	36.90819949
1820.0	36.75593327
1810.0	36.60366706
1800.0	36.45140085
1790.0	36.29913463
1780.0	36.14686842
1770.0	35.99460221
1760.0	35.84233599
1750.0	35.69006978
1740.0	35.53780357
1730.0	35.38553735
1720.0	35.23327114
1710.0	35.08100492
1700.0	34.92873871
1690.0	34.7764725
1680.0	34.62420628
1670.0	34.47194007
1660.0	34.31967386
1650.0	34.16740764
1640.0	34.01514143
1630.0	33.86287522
1620.0	33.710609
1610.0	33.55834279
1600.0	33.40607657
1590.0	33.25381036
1580.0	33.10154415
1570.0	32.94927793
1560.0	32.79701172
1550.0	32.64474551
1540.0	32.49247929
1530.0	32.34021308
1520.0	32.18794687
1510.0	32.03568065
1500.0	31.88341444
1490.0	31.73114822
1480.0	31.57888201
1470.0	31.4266158
1460.0	31.27434958
1459.63	31.26875802
1450.0	32.56807438
1440.0	33.21226612
1434.71	33.44175748
1430.0	33.9112371
1420.0	33.98623511
1410.0	33.86916582
1400.0	33.68767847
1390.0	33.48563596
1380.0	33.28257534
1370.0	33.08442323
1360.0	32.89134414
1350.0	32.70289252
1340.0	32.51888227
1330.0	32.33878905
1320.0	32.16280676
1310.0	31.99055184
1300.0	31.82202582
1290.0	31.65641555
1280.0	31.49403674
1270.0	31.33447241
1260.0	31.17784189
1250.0	31.02361972
1240.0	30.87151334
1230.0	30.72167947
1220.0	30.57412174
1210.0	30.42836476
1204.93	30.35499578
1200.0	30.29257382
1190.0	30.16567194
1180.0	30.03877002
1170.0	29.9118681
1160.0	29.78496615
1150.0	29.65806423
1140.0	29.53116225
1130.0	29.40426027
1120.0	29.27735829
1110.0	29.15045629
1100.0	29.02355431
1090.0	28.8966523
1080.0	28.76975029
1070.0	28.64284828
1060.0	28.5159463
1050.0	28.38904426
1040.0	28.26214225
1030.0	28.13524021
1020.0	28.00833817
1010.0	27.88143616
1000.0	27.75453412
990.0	27.62763209
980.0	27.50073008
970.0	27.37382806
960.0	27.24692603
950.0	27.12002399
940.0	26.99312195
930.0	26.86621991
920.0	26.73931788
910.0	26.61241584
900.0	26.4855138
890.0	26.35861177
880.0	26.23170973
870.0	26.10480769
860.0	25.97790565
850.0	25.85100362
840.0	25.72410158
830.0	25.59719954
820.0	25.4702975
810.0	25.34339547
800.0	25.21649345
790.0	25.08959141
